Tank,Date,Time,PTurnover,Ozone,Treatment,DOP,DO,Temp,Chl a,Height,pH,Salinity
L1,1.31.20,Pre,0,0,4,111,10.7,10.38,27.88,26,8.19,29.37
L2,1.31.20,Pre,0,0,4,120,11.23,10.18,10.01,25.5,8.36,29.79
L4,1.31.20,Pre,0,0,4,114,10.5,10.14,10.7,25.75,8.35,30.85
L1,2.1.20,Post,10,40,4,116.8,10.88,9.22,17.95,26,8.37,28.67
L2,2.1.20,Post,10,40,4,125,11.93,9.09,5.57,25.5,8.08,29.31
L4,2.1.20,Post,10,40,4,103.8,9.85,9.03,7.92,25.75,8.42,30.16
L2,2.8.20,Pre,0,0,40,97.8,9.12,11.32,5.74,24.5,8.12,26.03
L2,2.9.20,Post,100,40,40,99.9,9.34,10.72,2.94,24.5,8.17,26.09
L1,2.19.20,Pre,0,0,20,88.4,7.58,15.7,5.15,26.68,7.81,21.74
L2,2.19.20,Pre,0,0,20,95.1,7.92,15.5,2.53,25,7.84,28.48
L4,2.19.20,Pre,0,0,20,93.5,7.61,15.7,4.49,25.9,7.92,27.52
L1,2.20.20,Post,50,40,20,99.5,8.92,14.2,1.24,26.68,7.76,21.78
L2,2.20.20,Post,50,40,20,99.8,8.64,13.5,1.2,25,7.82,28.57
L4,2.20.20,Post,50,40,20,98.9,8.47,14.4,3.98,25.9,7.88,27.55
L1,3.2.20,Pre,0,0,50,112,10.38,11.2,8.52,23,7.79,23.94
L1,3.2.20,Pre,0,0,50,104,9.81,11.1,6.72,24.25,7.81,23.89
L1,3.2.20,Pre,0,0,50,98,9.298,11.1,7.49,25,7.85,23.89
L2,3.2.20,Pre,0,0,50,102,9.78,10.8,7.07,24.25,7.91,23.72
L2,3.2.20,Pre,0,0,50,102,9.74,10.8,6.97,24,7.92,23.71
L2,3.2.20,Pre,0,0,50,101,9.65,10.8,7.6,24,7.94,23.71
L4,3.2.20,Pre,0,0,50,100,9.48,11.2,9.3,25.75,7.95,22.93
L4,3.2.20,Pre,0,0,50,101.5,9.63,11.2,9.6,25,7.94,22.93
L4,3.2.20,Pre,0,0,50,100.5,9.49,11.2,8.42,25,7.94,22.89
L1,3.3.20,Post,50,100,50,94,8.15,15.3,1.92,23,7.86,23.28
L1,3.3.20,Post,50,100,50,96,8.34,15.3,1.45,24.5,7.91,23.38
L1,3.3.20,Post,50,100,50,96,8.24,15.4,1.92,25.5,7.92,23.27
L2,3.3.20,Post,50,100,50,97,8.6,15.1,1.52,24.25,7.94,23.13
L2,3.3.20,Post,50,100,50,95,8.36,15.1,1.57,24.5,7.95,23.13
L2,3.3.20,Post,50,100,50,97,8.49,15.1,1.41,24.5,7.96,23.13
L4,3.3.20,Post,50,100,50,97,8.49,15.6,3.97,25.5,7.74,22.39
L4,3.3.20,Post,50,100,50,93,8.14,15.5,3.71,26,7.8,22.38
L4,3.3.20,Post,50,100,50,97,8.52,15.5,3.67,25,7.84,22.38
L1,3.20.20,Pre,0,0,10,96,7.28,21.9,4.46,25.75,7.8,24.46
L1,3.20.20,Pre,0,0,10,98,7.44,21.9,5.15,26.5,7.77,24.44
L1,3.20.20,Pre,0,0,10,95,7.19,21.9,4.09,28,7.82,24.46
L2,3.20.20,Pre,0,0,10,94,7.16,21.7,2.13,25,7.82,26.21
L2,3.20.20,Pre,0,0,10,93,7.02,21.7,2.34,25,7.84,26.21
L2,3.20.20,Pre,0,0,10,95,7.16,21.6,2.29,25.5,7.86,26.22
L4,3.20.20,Pre,0,0,10,97,7.5,21.7,3.11,26,7.91,23.57
L4,3.20.20,Pre,0,0,10,96,7.34,21.7,2.85,26,7.9,23.58
L4,3.20.20,Pre,0,0,10,95,7.3,21.7,2.95,25,7.9,23.58
L1,3.21.20,Post,10,100,10,91,7.05,22,5.68,25.5,7.8,24.59
L1,3.21.20,Post,10,100,10,91,6.94,22,5.93,27.5,7.83,24.6
L1,3.21.20,Post,10,100,10,93,7.14,22,5.7,26.5,7.85,24.6
L2,3.21.20,Post,10,100,10,90,6.79,21.9,2.41,24.5,7.85,26.34
L2,3.21.20,Post,10,100,10,92,6.87,21.9,2.35,24.25,7.86,26.34
L2,3.21.20,Post,10,100,10,90,7.14,21.9,2.3,24.75,7.87,26.34
L4,3.21.20,Post,10,100,10,90,6.89,21.9,2.99,25.75,7.91,23.71
L4,3.21.20,Post,10,100,10,91,6.94,21.9,2.99,26.5,7.9,23.71
L4,3.21.20,Post,10,100,10,88,6.72,21.8,3.07,24.75,7.91,23.71
