Time,PTurnover,Ozone,Treatment,Nitrate,Ammonia,Nitrite,DOP,DO,Temp,Chl a,Height,pH,Salinity,Pchlaleft,Pchlchange,Tank
Pre,10,40,4,,,,111,10.7,10.38,27.88,26,8.19,29.37,64.3830703,-35.6169297,L1
Pre,10,40,4,,,,120,11.23,10.18,10.01,25.5,8.36,29.79,55.64435564,-44.35564436,L2
Pre,10,40,4,,,,114,10.5,10.14,10.7,25.75,8.35,30.85,74.01869159,-25.98130841,L4
Pre,100,40,40,,,,97.8,9.12,11.32,5.74,24.5,8.12,26.03,51.2195122,-48.7804878,L2
Pre,50,40,20,1.5,1.1,0.033,88.4,7.58,15.7,5.15,26.68,7.81,21.74,24.0776699,-75.9223301,L1
Pre,50,40,20,1.6,1.7,0.102,95.1,7.92,15.5,2.53,25,7.84,28.48,47.43083004,-52.56916996,L2
Pre,50,40,20,4,3.2,0.22,93.5,7.61,15.7,4.49,25.9,7.92,27.52,88.64142539,-11.35857461,L4
Pre,50,100,50,2,1,0.267,104.6666667,9.829333333,11.13333333,7.576666667,24.08333333,7.816666667,23.90666667,23.27320722,-76.72679278,L1
Pre,50,100,50,1.4,2.4,0.34,101.6666667,9.723333333,10.8,7.213333333,24.08333333,7.923333333,23.71333333,20.7948244,-79.2051756,L2
Pre,50,100,50,1,1.7,0.347,100.6666667,9.533333333,11.2,9.106666667,25.25,7.943333333,22.91666667,41.54465593,-58.45534407,L4
Pre,10,100,10,3.1,1.1,0.49,96.33333333,7.303333333,21.9,4.566666667,26.75,7.796666667,24.45333333,126.350365,26.35036496,L1
Pre,10,100,10,1.6,0.26,0.433,94,7.113333333,21.66666667,2.253333333,25.16666667,7.84,26.21333333,104.4378698,4.437869822,L2
Pre,10,100,10,2.5,0.22,0.472,96,7.38,21.7,2.97,25.66666667,7.903333333,23.57666667,101.5712682,1.571268238,L4
