Tank,Date,Cage,Gill Score,Treatment,Condition Factor,Length,Mass,Nitrate,Ammonia,Nitrite,DO,Max DO,Temp,Chla,Secchi,Height,pH,Salinity,Conductance
L1,3.3.20,1,23,50,0.93088409,139,25,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,1,26,50,1.060985147,153,38,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,1,19,50,0.87696793,175,47,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,2,20,50,1.007407407,150,34,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,2,21,50,1.011401077,162,43,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,2,28,50,1.001358032,128,21,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,3,31,50,1.033064485,153,37,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,3,23,50,0.918446841,145,28,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L1,3.3.20,3,26,50,0.918518519,150,31,2,1,0.267,104.6666667,341.3333333,11.13333333,7.576666667,24.33333333,24.33333333,7.816666667,23.90666667,37.77333333
L2,3.3.20,1,29,50,1.040530041,199,82,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,1,17,50,0.997353959,170,49,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,1,25,50,0.964359167,162,41,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,2,19,50,0.973809396,177,54,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,2,29,50,0.934516511,161,39,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,2,32,50,1.080879671,172,55,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,3,26,50,1.019956958,171,51,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,3,22,50,1.079649774,148,35,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L2,3.3.20,3,31,50,0.987108365,148,32,1.4,2.4,0.34,101.6,323,10.8,7.213333333,24.08333333,24.08333333,7.923333333,23.71333333,37.51
L4,3.3.20,1,32,50,0.961256149,181,57,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,1,18,50,0.977777778,150,33,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,1,24,50,0.933360764,137,24,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,2,28,50,1.028712721,181,61,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,2,21,50,0.998850965,141,28,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,2,26,50,0.929506246,164,41,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,3,23,50,0.994513032,180,58,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,3,22,50,0.97789674,142,28,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L4,3.3.20,3,14,50,1.024589694,187,67,1,1.7,0.347,100.6666667,326.3333333,11.2,9.106666667,25.25,25.25,7.943333333,22.91666667,36.32333333
L0,2.28.20,0,5,0,1.045024291,182,63,,,,,,,,,,,,
L0,2.28.20,0,7,0,1.045530851,176,57,,,,,,,,,,,,
L0,2.28.20,0,4,0,1.117596274,142,32,,,,,,,,,,,,
L0,2.28.20,0,6,0,1.038871748,147,33,,,,,,,,,,,,
L0,2.28.20,0,8,0,1.094313775,143,32,,,,,,,,,,,,
